Sweep step,Time,Job id,Predictor-1,NNM-0,Iter ,Bifurcation,NNM-1,Predictor-2,NNM-2
0,15.747170768310992,45db9d38-d402-4c15-8b00-130f1489c3af,0.014261704915419967,-,-,-,-,-,-
0,15.74717097391866,45db9d38-d402-4c15-8b00-130f1489c3af,-,0.00011785558979990042,-,-,-,-,-
0,15.747170987914462,45db9d38-d402-4c15-8b00-130f1489c3af,-,0.00011903414581925156,2,0.00011903414581925156,-,-,-
0,15.747232142032054,45db9d38-d402-4c15-8b00-130f1489c3af,-,-,3,0.014261868545877432,0.014261868545877432,-,-
0,15.747377654635573,45db9d38-d402-4c15-8b00-130f1489c3af,-,-,-,-,-,0.03123282641891662,-
0,15.747464267371251,45db9d38-d402-4c15-8b00-130f1489c3af,-,-,3,-,-,-,0.031232472278137885
0,15.747846687123898,45db9d38-d402-4c15-8b00-130f1489c3af,-,-,-,-,-,0.051596245962967295,-
0,15.747971437818876,45db9d38-d402-4c15-8b00-130f1489c3af,-,-,3,-,-,-,0.05159455536415407
0,15.748729560451107,45db9d38-d402-4c15-8b00-130f1489c3af,-,-,-,-,-,0.07602720716486654,-
0,15.748909200702723,45db9d38-d402-4c15-8b00-130f1489c3af,-,-,3,-,-,-,0.07602266547143112
0,15.750249848452356,45db9d38-d402-4c15-8b00-130f1489c3af,-,-,-,-,-,0.10533294298258827,-
0,15.750508350766088,45db9d38-d402-4c15-8b00-130f1489c3af,-,-,3,-,-,-,0.10532270764421263
0,15.752737243030193,45db9d38-d402-4c15-8b00-130f1489c3af,-,-,-,-,-,0.14047642725787673,-
0,15.753109410183345,45db9d38-d402-4c15-8b00-130f1489c3af,-,-,4,-,-,-,0.14045522526598042
0,15.756675895351293,45db9d38-d402-4c15-8b00-130f1489c3af,-,-,-,-,-,0.18260277169239475,-
0,15.757212028113269,45db9d38-d402-4c15-8b00-130f1489c3af,-,-,4,-,-,-,0.1825609065176468
0,15.762776050023682,45db9d38-d402-4c15-8b00-130f1489c3af,-,-,-,-,-,0.23306703545397417,-
0,15.7635464517003,45db9d38-d402-4c15-8b00-130f1489c3af,-,-,4,-,-,-,0.23298674983460918
0,15.772067202042912,45db9d38-d402-4c15-8b00-130f1489c3af,-,-,-,-,-,0.29346049774183,-
0,15.773175068986355,45db9d38-d402-4c15-8b00-130f1489c3af,-,-,4,-,-,-,0.2933092266044372
0,15.786048473352427,45db9d38-d402-4c15-8b00-130f1489c3af,-,-,-,-,-,0.3656288287047021,-
0,15.787636002673004,45db9d38-d402-4c15-8b00-130f1489c3af,-,-,4,-,-,-,0.3653464521674458
0,15.806868361353594,45db9d38-d402-4c15-8b00-130f1489c3af,-,-,-,-,-,0.4516682803976522,-
0,15.809140361888067,45db9d38-d402-4c15-8b00-130f1489c3af,-,-,5,-,-,-,0.45114223702217215
0,15.837609420457836,45db9d38-d402-4c15-8b00-130f1489c3af,-,-,-,-,-,0.5538697797268436,-
0,15.840829930353147,45db9d38-d402-4c15-8b00-130f1489c3af,-,-,5,-,-,-,0.5528846726711184
0,15.8825773710087,45db9d38-d402-4c15-8b00-130f1489c3af,-,-,-,-,-,0.6745449336362018,-
0,15.887111734736866,45db9d38-d402-4c15-8b00-130f1489c3af,-,-,6,-,-,-,0.6726749010204562
